Address,Latitude,Longitude,Type
"22913 US Hwy 17 Hampstead, NC",34.453088,-77.612004,Bojangles
"4850 Hwy 49 Harrisburg, NC",35.321786,-80.656664,Bojangles
"1001 E. Main St., Hwy 70 Havelock, NC",34.86340445,-76.89749748,Bojangles
"1518 Dabney Dr. Henderson, NC",36.3332678,-78.43475997,Bojangles
"1901 Four Seasons Blvd. Hendersonville, NC",35.337371,-82.445629,Bojangles
"7571 NC Hwy 127 N Hickory, NC",35.841044,-81.309507,Bojangles
"2707 South Main High Point, NC",35.926111,-79.984108,Bojangles
"317 S Center Street Hildebran, NC",35.70782,-81.422394,Bojangles
"330 S. Churton St. Hillsborough, NC",36.0623451,-79.10287008,Bojangles
"5750 Corporation Drive Hope Mills, NC",34.9367408,-78.9211132,Bojangles
"2800 Hickory Blvd. Hudson, NC",35.85786934,-81.48460463,Bojangles
"9145 Sam Furr Rd Huntersville, NC",35.443058,-80.87216,Bojangles
"6550 Old Monroe Road Indian Trail, NC",35.048361,-80.64797,Bojangles
"2149 Lejeune Blvd Jacksonville, NC",34.741191,-77.365087,Bojangles
"931 US Hwy. 70 East James City, NC",35.083209,-77.032426,Bojangles
"158 Northview Drive Jefferson, NC",36.42020113,-81.45967484,Bojangles
"1652 NC Highway 67 Jonesville, NC",36.23878925,-80.81941813,Bojangles
"1301 S Cannon Blvd Kannapolis, NC",35.477214,-80.610987,Bojangles
"915 Hwy 66 South Kernersville, NC",36.107835,-80.061581,Bojangles
"710 South Main Street King, NC",36.262941,-80.363436,Bojangles
"218 Cleveland Ave Kings Mountain, NC",35.244367,-81.330761,Bojangles
"400 W. Vernon Ave Kinston, NC",35.26869953,-77.58626193,Bojangles
"7525 Knightdale Blvd Knightdale, NC",35.79949292,-78.47580139,Bojangles
"7858 US-70 La Grange, NC",35.28684299,-77.75684506,Bojangles
"1226 South Main Laurinburg, NC",34.761062,-79.46912,Bojangles
"109 Village Road Leland, NC",34.233062,-77.996404,Bojangles
"302 Blowing Rock Lenoir, NC",35.917731,-81.524092,Bojangles
"1704 Cotton Grove Road Lexington, NC",35.77766665,-80.25916831,Bojangles
"1536 N. Main Street Lillington, NC",35.41871721,-78.80224943,Bojangles
"1601 East Main Street Lincolnton, NC",35.478007,-81.2337671,Bojangles
"1718 West Main Street Locust, NC",35.254967,-80.451759,Bojangles
"12 Golden Leaf Drive Louisburg, NC",36.08466682,-78.3068347,Bojangles
"2453 Roberts Ave Lumberton, NC",34.639822,-79.005797,Bojangles
"5612 E. NC Highway 150 Maiden, NC",35.5584715,-81.0649131,Bojangles
"1525 N. Main Street Marion, NC",35.69942383,-82.0267354,Bojangles
"434 Carl Eller Road Mars Hill, NC",35.82216081,-82.5429565,Bojangles
"6503 West Marshville Blvd Marshville, NC",34.986283,-80.369261,Bojangles
"11137 E Independence Blvd Matthews, NC",35.119836,-80.697951,Bojangles
"6820 NC 135 Mayodan, NC",36.41553309,-79.93958686,Bojangles
"1056 Mebane Oak Drive Mebane, NC",36.073322,-79.273605,Bojangles
"3009 N. NC Hwy. 16 Millers Creek, NC",36.18875846,-81.23882174,Bojangles
"3575 Boylston Highway Mills River, NC",35.4016732,-82.5695431,Bojangles
"9075 Lawyers Rd Mint Hill, NC",35.188534,-80.690667,Bojangles
"1468 Yadkinville Rd. Mocksville, NC",35.91993541,-80.58527894,Bojangles
"555 E Roosevelt Blvd Monroe, NC",34.97693117,-80.52009702,Bojangles
"625 River Highway Mooresville, NC",35.595259,-80.874202,Bojangles
"4229 Arendell St Morehead City, NC",34.7278917,-76.7727,Bojangles
"900 N Green St Morganton, NC",35.753116,-81.714247,Bojangles
"1000 Claren Circle Morrisville, NC",35.85572879,-78.82368296,Bojangles
"688 S Andy Griffith Pkwy Mount Airy, NC",36.486006,-80.616114,Bojangles
"1563 Andrews Road Murphy, NC",35.1094689,-84.0097021,Bojangles
"101 West Nashville Dr. Nashville, NC",35.97787917,-77.97467747,Bojangles
"1238 S. Glenburnie Rd. New Bern, NC",35.12231,-77.08858,Bojangles
"7085 Highway 70 East Newport, NC",34.79043351,-76.87749527,Bojangles
"1704 2nd Street North Wilkesboro, NC",36.17833018,-81.14329219,Bojangles
"411 N. Main Street Norwood, NC",35.22712679,-80.12478769,Bojangles
"8000 Linville Road Oak Ridge, NC",36.169636,-79.9869208,Bojangles
"1019 Lewis Street Oxford, NC",36.27990577,-78.6063581,Bojangles
"901 West Third Street Pembroke, NC",34.68551576,-79.20639731,Bojangles
"40 Russett Run Pittsboro, NC",35.75491794,-79.16616753,Bojangles
"601 US Highway 64 East Plymouth, NC",35.85021337,-76.75552547,Bojangles
"502 North Pearl Street Princeton, NC",35.46566072,-78.15056559,Bojangles
"116 Fayetteville Road Raeford, NC",34.980106,-79.235771,Bojangles
"4405 Falls of the Neuse Rd. Raleigh, NC",35.84122851,-78.61227605,Bojangles
"6893 Jordan Rd. Ramseur, NC",35.7415792,-79.6437596,Bojangles
"983 High Point Street Randleman, NC",35.82193677,-79.82317328,Bojangles
"1633 Freeway Drive Reidsville, NC",36.349576,-79.693458,Bojangles
"418 W Church Street Richfield, NC",35.472207,-80.268238,Bojangles
"8510 Richlands Highway Richlands, NC",34.90020872,-77.55115867,Bojangles
"1626 East 10th Street Roanoke Rapids, NC",36.440973,-77.642016,Bojangles
"800 North Main Street Robersonville, NC",35.83397505,-77.252803,Bojangles
"1706 E Broad Street Rockingham, NC",34.9186309,-79.7457631,Bojangles
"590 N Wesleyan Blvd Rocky Mount, NC",35.961391,-77.821551,Bojangles
"900 South Main Street Rolesville, NC",35.90966855,-78.47826777,Bojangles
"505 Madison Blvd Roxboro, NC",36.40039159,-78.9818877,Bojangles
"901 E Innes Street Salisbury, NC",35.659456,-80.462009,Bojangles
"773 South Horner Blvd. Sanford, NC",35.47164727,-79.17278476,Bojangles
"275 US Hwy 70 E Selma, NC",35.52222313,-78.29458851,Bojangles
"356 Whiteville Shallotte, NC",33.97429814,-78.40225831,Bojangles
"803 West Dixon Blvd Shelby, NC",35.2826,-81.556032,Bojangles
"14629 Hwy 64 West Siler City, NC",35.73342217,-79.43472035,Bojangles
"1035 Kingold Blvd. Snow Hill, NC",35.44056532,-77.66231194,Bojangles
"5160 Southport Supply Road Southport, NC",33.951648,-78.04261,Bojangles
"310 N Salisbury Ave Spencer, NC",35.693279,-80.425686,Bojangles
"541 Hwy 27 South Stanley, NC",35.351664,-81.088409,Bojangles
"1612 East Broad Street Statesville, NC",35.79039,-80.858376,Bojangles
"11 Ocean Highway East Supply, NC",34.0181846,-78.27221431,Bojangles
"64 Walmart Plaza Sylva, NC",35.362077,-83.202253,Bojangles
"101 Market Centre Dr. Tarboro, NC",35.883945,-77.549252,Bojangles
"500 NC Hwy 16 S Taylorsville, NC",35.914722,-81.178424,Bojangles
"1030 Randolph Street Thomasville, NC",35.865261,-80.072747,Bojangles
"1046 Charlotte Hwy Troutman, NC",35.669592,-80.854056,Bojangles
"422 Albemarle Rd. Troy, NC",35.35569244,-79.90124166,Bojangles
"380 NC Hwy 43 Vanceboro, NC",35.31211356,-77.1603781,Bojangles
"1206 East Caswell Street Wadesboro, NC",34.9633745,-80.0558945,Bojangles
"12109 Cloverleaf Drive Wake Forest, NC",35.97677807,-78.54099114,Bojangles
"5195 Walkertown Common Circle Walkertown, NC",36.163702,-80.134846,Bojangles
